Product Id, Product Name, Country, Network Name, Supplier Acc Id, Supplier Acc Name, MCC, MNC, Priority, Routing Criteria, Connectivity, Cost (USD), Prod Price (USD),
"PRD""03""2",Mx-Google,ZIMBABWE,TELECEL ZIMBABWE,36196-1,MSGBRD-MT-SMPP-DIRECT,648,3,1,MANUAL,SMPP,0.0135,0.02,0.0065
"PRD""03""2",Mx-Google,ZIMBABWE,TELECEL ZIMBABWE,35489-1,CLICK-GB-MT-SMPP,648,3,2,MANUAL,SMPP,0.0098,0.02,
"PRD""03""2",Mx-Google,ZIMBABWE,TELECEL ZIMBABWE,31944-1,SILVER-MT-SMPP,648,3,4,MANUAL,SMPP,0.0153,0.02,
"PRD""03""2",Mx-Google,ZIMBABWE,TELECEL ZIMBABWE,30569-3,ROUTESMS-MT-SMPP-PREM,648,3,3,MANUAL,SMPP,0.0126,0.02,
"PRD""03""2",Mx-Google,ZIMBABWE,TELECEL ZIMBABWE,30234-1,CLX-MT-SMPP,648,3,5,MANUAL,SMPP,0.0123,0.02,
PRD032,Mx-Google,ZIMBABWE,NETONE,36196-1,MSGBRD-MT-SMPP-DIRECT,648,1,4,MANUAL,SMPP,0.0135,0.02,
PRD032,Mx-Google,ZIMBABWE,NETONE,35489-1,CLICK-GB-MT-SMPP,648,1,2,MANUAL,SMPP,0.0159,0.02,
PRD032,Mx-Google,ZIMBABWE,NETONE,31944-1,SILVER-MT-SMPP,648,1,5,MANUAL,SMPP,0.0196,0.02,
PRD032,Mx-Google,ZIMBABWE,NETONE,30569-3,ROUTESMS-MT-SMPP-PREM,648,1,3,MANUAL,SMPP,0.0126,0.02,
PRD032,Mx-Google,ZIMBABWE,NETONE,30234-1,CLX-MT-SMPP,648,1,1,MANUAL,SMPP,0.0209,0.02,-0.0009
PRD032,Mx-Google,ZIMBABWE,NETONE,125-1,BICS-MT-SMPP,648,1,6,MANUAL,SMPP,0.0172,--,
PRD032,Mx-Google,ZIMBABWE,ECONET WIRELESS,36196-1,MSGBRD-MT-SMPP-DIRECT,648,4,2,MANUAL,SMPP,0.0061,0.02,
PRD032,Mx-Google,ZIMBABWE,ECONET WIRELESS,35489-1,CLICK-GB-MT-SMPP,648,4,3,MANUAL,SMPP,0.0147,0.02,
PRD032,Mx-Google,ZIMBABWE,ECONET WIRELESS,35209-1,GMSU-MT-SMPP-A2P,648,4,1,MANUAL,SMPP,0.0062,0.02,0.0138
PRD032,Mx-Google,ZIMBABWE,ECONET WIRELESS,31944-1,SILVER-MT-SMPP,648,4,4,MANUAL,SMPP,0.0166,0.02,
PRD032,Mx-Google,ZIMBABWE,ECONET WIRELESS,30569-3,ROUTESMS-MT-SMPP-PREM,648,4,5,MANUAL,SMPP,0.0126,0.02,
PRD032,Mx-Google,ZIMBABWE,ECONET WIRELESS,30234-1,CLX-MT-SMPP,648,4,6,MANUAL,SMPP,0.0724,0.02,
